,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
676,Brady Tkachuk,OTT,L,81,1550.5166666667,37,37,28,9,74,70.48,357,10.36,44.52,574,485,350,167,19,80,134,38,27,6,5,45,49,48,294,106,34,200,180,52.63
677,Ryan McLeod,EDM,C,81,1153.6833333333,12,18,15,3,30,61.22,106,11.32,13.3,196,160,114,57,6,20,10,5,5,0,0,11,48,66,65,111,34,365,353,50.84
678,Evan Bouchard,EDM,D,81,1862.7666666667,18,64,25,39,82,48.52,220,8.18,12.45,488,303,134,14,6,37,32,16,16,0,0,11,82,59,71,124,105,0,0,
679,Isac Lundestrom,ANA,C,46,659.68333333333,5,6,5,1,11,55.0,38,13.16,6.8,76,63,53,36,2,11,2,1,1,0,0,5,12,19,51,37,27,170,216,44.04
680,Mattias Samuelsson,BUF,D,41,840.5,1,6,2,4,7,20.59,44,2.27,1.17,93,61,14,1,3,5,26,13,13,0,0,5,24,8,106,71,87,0,0,
681,Joe Veleno,DET,C,80,1116.5166666667,12,16,8,8,28,57.14,86,13.95,11.85,168,132,95,50,5,14,25,10,9,1,0,16,13,23,108,88,35,305,317,49.04
682,K'Andre Miller,NYR,D,80,1724.9833333333,8,22,5,17,30,36.59,96,8.33,7.42,241,152,74,16,10,16,49,19,17,1,1,12,34,57,149,78,117,0,0,
683,Filip Zadina,S.J,R,72,960.46666666667,13,10,5,5,23,76.67,137,9.49,14.43,267,196,130,62,6,31,18,8,8,0,0,15,19,29,55,46,28,15,53,22.06
684,Alexander Alexeyev,WSH,D,39,534.15,1,2,1,1,3,20.0,20,5.0,0.48,60,30,13,3,1,3,6,3,3,0,0,0,12,4,48,59,59,0,0,
685,Jesperi Kotkaniemi,CAR,C,79,1025.35,12,15,11,4,27,52.94,128,9.38,16.22,259,192,141,69,4,23,36,18,18,0,0,13,34,26,56,89,33,333,313,51.55
686,Andrei Svechnikov,CAR,R,59,1001.8,19,33,18,15,52,68.42,144,13.19,19.61,305,223,143,55,8,27,58,28,28,0,0,14,43,25,142,100,22,4,4,50.0
687,Ty Emberson,S.J,D,30,556.48333333333,1,9,3,6,10,58.82,31,3.23,0.91,74,45,17,1,2,9,6,3,3,0,0,2,8,7,94,53,46,0,0,
688,Jack Drury,CAR,C,74,908.65,8,19,10,9,27,56.25,106,7.55,12.64,213,163,118,59,7,18,33,12,9,3,0,14,17,22,30,104,35,367,297,55.27
689,Jonathan Gruden,PIT,C,13,112.75,1,0,0,0,1,100.0,9,11.11,0.93,14,12,8,2,2,0,5,1,0,1,0,2,3,3,35,16,5,4,8,33.33
690,Rasmus Dahlin,BUF,D,81,2059.2166666667,20,39,24,15,59,53.15,235,8.51,14.61,474,326,139,20,9,38,66,29,28,0,1,27,44,42,195,175,154,0,0,
691,Grigori Denisenko,VGK,L,6,65.083333333333,0,0,0,0,0,0.0,5,0.0,0.55,8,7,5,4,1,1,2,1,1,0,0,0,0,1,14,8,2,0,0,
692,Rasmus Kupari,WPG,C,28,255.95,0,1,1,0,1,33.33,28,0.0,2.33,49,38,22,8,0,4,4,2,2,0,0,7,5,6,24,27,10,78,89,46.71
693,Ty Dellandrea,DAL,C,42,532.2,2,7,4,3,9,50.0,53,3.77,6.11,100,78,58,29,4,6,23,10,9,1,0,10,7,10,63,69,17,93,131,41.52
694,Barrett Hayton,ARI,C,33,561.45,3,7,3,4,10,30.3,66,4.55,11.4,119,93,90,49,2,14,26,9,8,0,1,12,8,9,17,41,15,208,210,49.76
695,Akil Thomas,L.A,C,7,61.1,3,1,0,1,4,100.0,9,33.33,0.75,16,12,9,3,3,1,2,1,1,0,0,4,0,2,8,11,3,4,6,40.0
696,Liam Foudy,CBJ,C,1,7.9333333333333,0,0,0,0,0,0.0,0,,0.07,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,
697,Liam Foudy,NSH,C,12,121.76666666667,0,3,2,1,3,75.0,7,0.0,1.07,22,13,10,7,0,5,2,1,1,0,0,4,1,3,6,12,4,0,0,
698,Jack McBain,ARI,C,67,845.83333333333,8,18,13,5,26,60.47,56,14.29,10.16,122,88,84,49,5,18,50,19,15,4,0,17,16,12,204,100,42,294,356,45.23
699,Kevin Bahl,N.J,D,82,1426.5166666667,1,10,5,5,11,16.67,63,1.59,2.29,166,97,35,6,2,16,82,34,31,2,1,9,24,19,151,112,103,0,0,
700,Noah Dobson,NYI,D,79,1937.1166666667,10,60,35,25,70,56.0,174,5.75,6.87,447,253,105,11,11,31,36,18,18,0,0,7,62,32,84,155,180,0,0,
701,Bo Groulx,ANA,C,45,548.48333333333,0,2,1,1,2,28.57,32,0.0,3.66,82,54,41,19,2,6,22,11,11,0,0,3,10,10,101,54,30,121,154,44.0
702,Adam Boqvist,CBJ,D,35,639.91666666667,1,9,5,4,10,31.25,45,2.22,3.41,121,73,45,11,1,9,0,0,0,0,0,4,16,7,11,38,42,0,0,
703,Rasmus Sandin,WSH,D,68,1436.2,3,20,12,8,23,35.38,79,3.8,4.57,194,111,60,12,6,19,24,12,12,0,0,4,31,23,75,135,106,0,0,
704,Adam Ginning,PHI,D,9,127.35,1,0,0,0,1,25.0,6,16.67,0.13,15,8,2,0,0,1,0,0,0,0,0,0,6,2,18,9,9,0,0,
705,Nils Lundkvist,DAL,D,59,832.26666666667,2,17,11,6,19,39.58,73,2.74,2.51,177,104,40,1,1,20,16,8,8,0,0,0,20,4,45,106,38,0,0,
706,Jacob Bernard-Docker,OTT,D,72,1129.9333333333,4,10,7,3,14,31.11,51,7.84,1.73,136,77,29,8,2,13,25,11,10,1,0,5,39,12,62,142,156,0,0,
707,Jakub Lauko,BOS,C,60,589.25,2,8,6,2,10,62.5,43,4.65,5.58,97,68,59,32,5,5,32,12,10,2,0,12,8,14,176,74,24,7,9,43.75
708,Calen Addison,MIN,D,12,201.68333333333,0,5,2,3,5,33.33,18,0.0,1.37,52,30,12,2,0,2,6,3,3,0,0,1,0,1,3,9,4,0,0,
709,Calen Addison,S.J,D,60,1041.3666666667,1,11,6,5,12,32.43,75,1.33,4.34,169,97,58,8,2,18,66,17,13,0,4,10,14,17,45,55,79,0,0,
710,Jordan Harris,MTL,D,56,978.43333333333,3,11,6,5,14,40.0,43,6.98,1.5,97,64,28,2,2,13,22,11,11,0,0,8,22,13,26,106,86,0,0,
711,Jan Jenik,ARI,R,5,41.883333333333,0,1,1,0,1,100.0,2,0.0,0.15,5,4,1,0,0,1,5,1,0,1,0,1,0,1,6,8,7,14,16,46.67
712,Michael Kesselring,ARI,D,65,1026.5333333333,5,16,7,9,21,39.62,76,6.58,3.31,196,134,47,8,5,18,66,26,23,2,1,11,28,14,106,88,59,0,0,
713,Kirill Marchenko,CBJ,R,78,1280.2833333333,23,19,12,7,42,52.5,193,11.92,18.98,359,262,193,60,9,24,14,7,7,0,0,15,28,49,55,102,39,26,53,32.91
714,Ilya Lyubushkin,ANA,D,55,943.18333333333,0,4,2,2,4,13.79,38,0.0,2.32,84,59,28,6,5,4,51,20,18,1,1,9,25,18,112,79,138,0,0,
715,Ilya Lyubushkin,TOR,D,19,324.05,0,4,2,2,4,28.57,9,0.0,0.4,23,14,3,0,1,0,6,3,3,0,0,1,15,5,64,50,30,0,0,
716,Connor Dewar,MIN,C,57,642.68333333333,10,4,2,2,14,77.78,57,17.54,7.06,111,81,65,31,8,7,20,7,5,2,0,6,4,18,94,52,27,181,205,46.89
717,Connor Dewar,TOR,C,17,219.41666666667,1,4,3,1,5,71.43,20,5.0,1.16,40,30,15,5,2,4,8,4,4,0,0,1,2,3,29,22,11,11,13,45.83
718,Declan Chisholm,MIN,D,29,489.3,3,5,4,1,8,42.11,29,10.34,1.85,68,45,20,8,1,5,18,5,4,0,1,0,12,5,12,29,36,0,0,
719,Declan Chisholm,WPG,D,2,23.1,0,1,0,1,1,50.0,0,,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,
720,Pontus Holmberg,TOR,R,54,624.7,7,10,6,4,17,48.57,54,12.96,7.0,97,79,66,35,3,5,18,9,9,0,0,11,10,14,51,109,42,94,109,46.31
721,Tyler Tucker,STL,D,26,323.71666666667,1,1,1,0,2,12.5,17,5.88,0.57,41,21,9,2,0,7,42,15,11,4,0,11,6,7,64,39,27,0,0,
722,Jonatan Berggren,DET,R,12,130.33333333333,2,4,1,3,6,66.67,14,14.29,1.07,23,20,10,4,0,2,2,1,1,0,0,5,0,3,2,10,7,0,0,
723,Alexander Romanov,NYI,D,81,1688.0666666667,7,15,7,8,22,28.57,117,5.98,3.92,258,164,60,7,4,17,20,10,10,0,0,7,53,25,157,159,171,0,0,
724,Ruslan Iskhakov,NYI,C,1,14.183333333333,0,1,0,1,1,100.0,2,0.0,0.19,3,2,1,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,
725,David Gustafsson,WPG,C,39,361.08333333333,3,4,2,2,7,63.64,27,11.11,2.79,52,40,29,16,1,2,0,0,0,0,0,2,4,8,30,45,23,106,88,54.64
726,Linus Karlsson,VAN,C,4,40.583333333333,0,0,0,0,0,0.0,4,0.0,0.94,8,6,5,3,1,2,0,0,0,0,0,2,0,1,3,5,2,2,7,22.22
727,Martin Pospisil,CGY,C,63,801.33333333333,8,16,8,8,24,58.54,117,6.84,12.65,202,162,124,62,13,20,109,38,32,3,3,23,23,26,238,81,22,23,28,45.1
728,Jack St. Ivany,PIT,D,14,191.83333333333,0,1,1,0,1,14.29,11,0.0,0.31,25,19,6,1,2,6,2,1,1,0,0,0,3,5,30,16,14,0,0,
729,Paul Cotter,VGK,C,76,967.26666666667,7,18,12,6,25,65.79,100,7.0,11.01,201,154,133,54,10,20,31,14,13,1,0,10,19,35,233,125,29,26,27,49.06
730,Cole Koepke,T.B,L,9,60.316666666667,0,2,1,1,2,66.67,9,0.0,1.15,15,13,6,4,0,1,0,0,0,0,0,1,1,2,23,10,1,0,0,
731,Spencer Stastney,NSH,D,20,319.66666666667,2,2,1,1,4,25.0,11,18.18,0.52,35,19,9,1,0,1,4,2,2,0,0,2,11,5,2,27,29,0,0,
732,Jesse Ylönen,MTL,R,59,604.0,4,4,2,2,8,40.0,50,8.0,4.24,80,66,40,13,3,6,12,6,6,0,0,4,7,6,41,88,32,5,4,55.56
733,Scott Perunovich,STL,D,54,824.68333333333,0,17,10,7,17,36.96,36,0.0,1.81,80,53,29,1,3,10,12,6,6,0,0,8,16,15,30,50,53,0,0,
734,Angus Crookshank,OTT,L,13,131.46666666667,2,1,0,1,3,60.0,20,10.0,1.52,33,26,14,5,1,3,4,2,2,0,0,3,3,2,20,11,8,0,0,
735,Yegor Sharangovich,CGY,C,82,1419.8166666667,31,28,18,10,59,71.95,179,17.32,22.38,372,273,203,78,11,24,8,4,4,0,0,11,39,35,13,88,44,133,208,39.0
736,Hugh McGing,STL,L,5,41.9,0,0,0,0,0,0.0,4,0.0,0.5,5,4,4,2,0,0,0,0,0,0,0,2,1,3,7,3,3,1,6,14.29
737,John Leonard,ARI,L,6,41.2,1,0,0,0,1,100.0,5,20.0,0.22,11,6,4,1,1,2,0,0,0,0,0,0,0,0,1,0,5,0,0,
738,Rafael Harvey-Pinard,MTL,L,45,568.7,2,8,7,1,10,62.5,26,7.69,5.34,60,46,44,28,2,9,6,3,3,0,0,6,13,5,47,35,47,13,28,31.71
739,Simon Benoit,TOR,D,64,1102.6,1,4,1,3,5,10.42,52,1.92,2.32,124,77,20,2,4,7,56,22,18,4,0,15,29,17,246,159,102,0,0,
740,Reese Johnson,CHI,C,42,459.18333333333,2,3,0,3,5,50.0,51,3.92,4.83,88,68,47,20,8,3,40,10,5,4,1,19,9,7,109,30,16,42,39,51.85
741,Jake Christiansen,CBJ,D,12,158.63333333333,0,2,1,1,2,40.0,7,0.0,0.33,21,14,3,1,0,2,2,1,1,0,0,0,2,2,10,13,15,0,0,
742,Brayden Pachal,CGY,D,33,485.48333333333,1,5,3,2,6,31.58,34,2.94,1.84,88,51,18,5,1,6,39,18,17,1,0,13,17,3,82,58,45,0,0,
743,Brayden Pachal,VGK,D,17,248.35,1,0,0,0,1,16.67,18,5.56,0.62,46,24,10,3,0,3,12,6,6,0,0,3,6,2,49,22,23,0,0,
744,Egor Zamula,PHI,D,66,1059.7833333333,5,16,7,9,21,38.89,61,8.2,2.26,177,95,48,3,1,17,32,16,16,0,0,6,22,17,37,76,79,0,0,
745,Logan O'Connor,COL,R,57,852.16666666667,13,12,7,5,25,64.1,85,15.29,11.77,174,130,104,54,7,14,34,14,12,2,0,10,12,38,60,79,38,29,35,45.31
746,John Ludvig,PIT,D,33,389.6,3,2,1,1,5,41.67,24,12.5,1.17,53,37,14,2,0,6,47,12,6,5,1,8,9,3,72,39,33,0,0,
747,Kyle MacLean,NYI,C,32,322.76666666667,4,5,3,2,9,81.82,26,15.38,2.7,43,38,23,12,1,6,11,4,3,1,0,7,9,8,60,19,6,105,142,42.51
748,Samuel Fagemo,L.A,L,4,34.2,0,0,0,0,0,,6,0.0,0.43,11,8,4,1,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,
749,Samuel Fagemo,NSH,L,4,39.283333333333,1,0,0,0,1,50.0,7,14.29,0.45,8,7,4,2,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1,0.0
750,Jacob Lucchini,MIN,C,40,383.91666666667,2,3,1,2,5,50.0,22,9.09,2.5,52,37,28,9,0,4,23,6,4,1,1,1,3,6,22,45,14,45,58,43.69
751,Joe Snively,WSH,C,3,25.033333333333,0,0,0,0,0,,0,,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,
752,Mason Morelli,VGK,L,9,96.783333333333,3,1,0,1,4,100.0,9,33.33,0.99,14,12,11,4,0,5,0,0,0,0,0,1,2,3,21,18,6,2,4,33.33
753,Nico Sturm,S.J,C,63,923.53333333333,5,8,7,1,13,50.0,69,7.25,7.74,133,104,81,42,9,9,12,5,5,0,0,10,18,21,75,48,39,497,330,60.1
754,Blake Lizotte,L.A,C,62,732.9,7,8,6,2,15,53.57,76,9.21,8.09,128,100,69,32,2,16,20,9,9,0,0,14,13,11,64,104,28,171,194,46.85
755,Brett Leason,ANA,R,68,884.6,11,11,6,5,22,84.62,91,12.09,7.88,173,128,79,35,8,17,14,7,7,0,0,4,16,20,80,75,65,17,24,41.46
756,Nolan Foote,N.J,L,4,40.4,1,0,0,0,1,100.0,6,16.67,0.5,11,9,4,2,1,0,0,0,0,0,0,0,0,0,3,7,2,0,2,0.0
757,Ronnie Attard,PHI,D,12,184.61666666667,0,2,1,1,2,33.33,14,0.0,1.08,42,28,12,2,3,3,6,3,3,0,0,0,2,5,22,27,14,0,0,
758,Peyton Krebs,BUF,C,80,1000.45,4,13,5,8,17,47.22,74,5.41,7.24,141,111,82,29,5,11,67,23,20,1,2,13,13,13,108,127,23,284,330,46.25
759,Kirby Dach,MTL,C,2,26.033333333333,0,2,0,2,2,66.67,3,0.0,0.18,5,3,3,2,0,0,0,0,0,0,0,1,0,1,3,4,0,3,5,37.5
760,Bowen Byram,BUF,D,18,393.28333333333,3,6,3,3,9,42.86,21,14.29,1.74,44,34,16,3,0,4,13,5,4,1,0,3,6,7,34,54,29,0,0,
761,Bowen Byram,COL,D,55,1091.7166666667,8,12,3,9,20,40.82,63,12.7,4.01,161,90,55,17,2,12,40,20,20,0,0,8,27,13,60,101,75,0,0,
762,Kaedan Korczak,VGK,D,26,429.13333333333,1,8,3,5,9,39.13,32,3.13,1.17,81,45,22,0,2,9,8,4,4,0,0,1,12,4,43,34,31,0,0,
763,Dylan Cozens,BUF,C,79,1360.8166666667,18,29,22,7,47,65.28,200,9.0,22.75,367,262,203,82,13,42,42,14,11,2,1,20,36,28,107,111,27,522,624,45.55
764,Alex Turcotte,L.A,C,20,185.6,1,3,0,3,4,44.44,14,7.14,2.24,36,27,19,12,0,2,6,3,3,0,0,3,1,6,7,36,10,21,21,50.0
765,Trevor Zegras,ANA,C,31,529.73333333333,6,9,4,5,15,62.5,73,8.22,7.41,135,105,69,29,3,10,30,10,9,0,1,4,16,15,16,33,15,53,85,38.41
766,Raphael Lavoie,EDM,C,7,51.0,0,0,0,0,0,,4,0.0,0.3,9,6,7,2,0,1,2,1,1,0,0,0,0,1,13,5,1,0,2,0.0
767,Nils Hoglander,VAN,L,80,968.5,24,12,8,4,36,65.45,120,20.0,18.1,198,174,145,93,9,14,41,19,18,1,0,18,14,29,100,94,19,0,0,
768,Nikita Okhotiuk,CGY,D,9,120.13333333333,0,1,0,1,1,20.0,4,0.0,0.15,12,7,4,0,0,1,4,2,2,0,0,0,6,2,22,12,8,0,0,
769,Nikita Okhotiuk,S.J,D,43,707.31666666667,1,7,4,3,8,42.11,48,2.08,2.66,121,81,31,7,3,10,44,14,12,0,2,3,25,11,125,49,72,0,0,
770,Cole Caufield,MTL,R,82,1592.4833333333,28,37,23,14,65,60.75,314,8.92,32.38,564,436,269,87,9,48,16,8,8,0,0,20,41,33,56,87,22,7,9,43.75
771,Samuel Bolduc,NYI,D,34,446.93333333333,2,3,0,3,5,29.41,32,6.25,1.02,76,54,21,2,2,7,6,3,3,0,0,1,10,2,44,40,40,0,0,
772,Moritz Seider,DET,D,82,1833.4833333333,9,33,17,16,42,38.89,135,6.67,6.41,286,191,76,5,12,20,51,24,23,1,0,22,39,41,211,78,212,0,0,
773,Nikita Alexandrov,STL,C,23,196.1,0,2,0,2,2,40.0,15,0.0,1.11,25,19,11,5,1,1,4,2,2,0,0,1,5,5,29,19,7,37,54,40.66
774,Cam York,PHI,D,82,1854.7833333333,10,20,5,15,30,37.04,134,7.46,8.91,287,197,88,22,9,24,44,21,21,0,0,12,32,18,76,162,174,0,0,
775,Adam Beckman,MIN,L,11,103.48333333333,0,2,1,1,2,100.0,10,0.0,0.99,23,17,13,3,3,0,12,2,1,0,1,2,0,2,13,8,3,0,0,
776,Bobby Brink,PHI,R,57,786.2,11,12,9,3,23,63.89,81,13.58,11.02,155,114,87,42,3,17,10,5,5,0,0,14,12,10,36,74,24,4,3,57.14
777,Kaapo Kakko,NYR,R,61,810.03333333333,13,6,4,2,19,59.38,91,14.29,8.5,170,129,78,37,3,12,24,10,10,0,0,8,16,17,26,64,18,13,10,56.52
778,John Beecher,BOS,C,52,552.43333333333,7,3,3,0,10,71.43,38,18.42,4.49,57,48,33,25,3,4,24,9,7,2,0,5,8,13,112,70,34,273,227,54.6
779,Matt Boldy,MIN,L,75,1418.3333333333,29,40,26,14,69,62.73,227,12.78,26.22,507,350,296,96,6,51,48,22,22,0,0,21,49,61,33,123,32,37,51,42.05
780,Jack Hughes,N.J,C,62,1300.3833333333,27,47,29,18,74,75.51,274,9.85,27.27,521,361,252,70,12,55,12,6,6,0,0,27,71,64,10,67,24,118,199,37.22
781,Arthur Kaliyev,L.A,R,51,601.91666666667,7,8,7,1,15,51.72,101,6.93,10.49,211,155,96,39,5,23,14,6,6,0,0,3,15,11,33,41,14,0,1,0.0
782,Ryan Johnson,BUF,D,41,568.55,0,7,4,3,7,31.82,35,0.0,1.47,86,56,21,6,5,3,12,6,6,0,0,2,12,13,8,77,39,0,0,
783,Henry Thrun,S.J,D,51,1019.9833333333,3,8,4,4,11,32.35,48,6.25,2.16,114,72,31,6,4,11,16,8,8,0,0,5,28,17,26,69,71,0,0,
784,Alex Vlasic,CHI,D,76,1632.3833333333,2,14,5,9,16,26.23,71,2.82,3.91,168,102,46,12,7,9,45,14,10,3,1,10,47,60,56,111,148,0,0,
785,Philip Tomasino,NSH,C,41,515.53333333333,7,13,7,6,20,80.0,62,11.29,6.85,112,86,75,25,2,18,15,6,5,1,0,6,28,16,13,62,18,3,16,15.79
786,Graeme Clarke,N.J,R,3,34.15,0,0,0,0,0,0.0,2,0.0,0.2,9,4,4,0,0,1,2,1,1,0,0,0,0,1,6,1,0,0,1,0.0
787,Connor McMichael,WSH,C,80,1278.9333333333,18,15,10,5,33,67.35,135,13.33,20.41,252,198,161,85,9,25,34,17,17,0,0,15,26,39,45,62,39,370,502,42.43
788,Thomas Harley,DAL,D,79,1660.3333333333,15,32,14,18,47,46.53,144,10.42,7.67,347,209,125,14,5,29,18,9,9,0,0,8,61,37,68,168,135,0,0,
789,Nicholas Robertson,TOR,L,56,637.08333333333,14,13,7,6,27,79.41,96,14.58,8.7,168,133,80,27,10,11,4,2,2,0,0,6,18,28,34,67,24,3,8,27.27
790,Egor Afanasyev,NSH,L,2,25.983333333333,0,0,0,0,0,,5,0.0,0.2,6,6,2,0,1,0,0,0,0,0,0,0,1,0,6,4,2,0,0,
791,Sam Poulin,PIT,R,3,23.366666666667,0,0,0,0,0,,2,0.0,0.05,5,3,1,0,1,1,2,1,1,0,0,0,1,0,5,5,3,5,7,41.67
792,Jakob Pelletier,CGY,L,13,120.51666666667,1,2,0,2,3,60.0,9,11.11,0.93,18,11,8,5,1,1,2,1,1,0,0,0,3,5,10,5,3,4,4,50.0
793,Jayden Struble,MTL,D,56,902.26666666667,3,7,3,4,10,29.41,47,6.38,2.18,126,69,34,6,1,9,57,18,15,1,2,12,34,22,122,80,53,0,0,
794,Shane Pinto,OTT,C,41,742.48333333333,9,18,10,8,27,61.36,110,8.18,16.56,205,165,147,69,8,24,14,7,7,0,0,7,19,24,39,49,31,251,245,50.6
795,Philip Broberg,EDM,D,12,139.41666666667,0,2,2,0,2,33.33,6,0.0,0.19,13,8,4,1,0,1,0,0,0,0,0,0,2,2,4,18,10,0,0,
796,Victor Soderstrom,ARI,D,3,45.566666666667,0,0,0,0,0,0.0,1,0.0,0.04,4,1,2,0,0,0,0,0,0,0,0,0,1,0,3,12,6,0,0,
797,Tobias Bjornfot,FLA,D,1,17.016666666667,0,0,0,0,0,,1,0.0,0.01,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,
798,Tobias Bjornfot,L.A,D,1,10.2,0,0,0,0,0,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,
799,Tobias Bjornfot,VGK,D,2,28.016666666667,0,0,0,0,0,,0,,0.0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,1,10,4,0,0,
800,Simon Holmstrom,NYI,R,75,998.95,15,10,10,0,25,59.52,72,20.83,8.73,152,115,91,45,9,6,14,7,7,0,0,8,19,53,19,58,46,6,13,31.58
801,Pavel Dorofeyev,VGK,L,47,624.0,13,11,7,4,24,72.73,97,13.4,11.54,174,141,108,51,6,16,12,6,6,0,0,5,14,19,18,43,23,2,2,50.0
802,Jackson LaCombe,ANA,D,71,1375.7833333333,2,15,10,5,17,42.5,55,3.64,4.39,129,83,48,9,3,11,24,12,12,0,0,4,35,31,50,96,129,0,0,
803,Jordan Spence,L.A,D,71,1024.25,2,22,13,9,24,41.38,80,2.5,3.79,198,112,69,15,2,24,12,5,5,0,0,3,18,6,67,102,55,0,0,
804,Vladislav Kolyachonok,ARI,D,5,62.366666666667,1,3,1,2,4,57.14,5,20.0,0.22,10,7,4,0,0,1,2,1,1,0,0,0,0,1,3,10,6,0,0,
805,Vasily Podkolzin,VAN,R,19,205.38333333333,0,2,1,1,2,40.0,20,0.0,1.88,35,30,20,9,0,4,8,4,4,0,0,1,1,7,71,24,3,3,5,37.5
806,Alex Newhook,MTL,C,55,930.95,15,19,7,12,34,61.82,85,17.65,12.01,181,131,116,54,5,13,18,9,9,0,0,10,30,21,36,64,31,229,263,46.54
807,Ilya Mikheyev,VAN,R,78,1112.6,11,20,10,10,31,70.45,147,7.48,15.2,240,202,155,83,10,21,4,2,2,0,0,14,16,19,50,65,20,8,21,27.59
808,Joel Kiviranta,COL,L,56,551.0,3,6,3,3,9,50.0,48,6.25,5.51,78,60,50,29,3,6,12,6,6,0,0,11,7,19,78,76,31,2,5,28.57
809,Cole Schwindt,CGY,R,4,27.166666666667,0,0,0,0,0,,1,0.0,0.22,3,3,2,2,0,0,2,1,1,0,0,0,1,0,5,5,1,6,2,75.0
810,Aliaksei Protas,WSH,C,78,1072.2,6,23,13,10,29,60.42,113,5.31,13.49,203,167,110,57,5,26,8,4,4,0,0,10,33,44,34,88,49,42,62,40.38
811,Maxence Guenette,OTT,D,7,96.516666666667,0,0,0,0,0,0.0,6,0.0,0.19,21,8,8,1,0,3,2,1,1,0,0,0,3,1,6,4,6,0,0,
812,Tyler Angle,CBJ,C,2,16.666666666667,0,0,0,0,0,,0,,0.02,2,1,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,3,6,33.33
813,Aku Raty,ARI,R,1,11.75,0,1,0,1,1,100.0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,
814,Santeri Hatakka,N.J,D,12,175.75,0,2,0,2,2,16.67,12,0.0,0.41,22,18,5,1,0,5,4,2,2,0,0,1,6,1,14,22,12,0,0,
815,Valtteri Puustinen,PIT,R,52,610.85,5,15,10,5,20,62.5,86,5.81,8.45,148,113,76,34,5,17,6,3,3,0,0,2,15,19,40,30,33,1,3,25.0
816,Juuso Parssinen,NSH,C,44,642.38333333333,8,4,0,4,12,44.44,54,14.81,8.3,95,71,63,35,9,9,12,6,6,0,0,16,15,16,62,44,15,78,130,37.5
817,Zac Jones,NYR,D,31,453.48333333333,2,7,4,3,9,39.13,42,4.76,1.9,69,52,23,6,1,8,8,4,4,0,0,0,8,15,22,34,23,0,0,
818,Matias Maccelli,ARI,L,82,1331.1833333333,17,40,26,14,57,71.25,149,11.41,17.49,288,205,149,63,11,24,8,4,4,0,0,13,56,22,25,81,20,6,10,37.5
819,Dmitri Voronkov,CBJ,L,75,1009.2666666667,18,16,10,6,34,56.67,142,12.68,22.66,238,203,167,108,2,29,52,23,21,2,0,11,16,15,83,25,48,277,380,42.16
820,Maxwell Crozier,T.B,D,13,168.15,0,2,2,0,2,33.33,13,0.0,0.39,32,18,2,1,0,4,7,2,1,1,0,4,5,6,16,16,11,0,0,
821,Adam Edstrom,NYR,C,11,92.516666666667,2,0,0,0,2,66.67,7,28.57,0.88,10,8,8,2,1,0,2,1,1,0,0,3,4,1,30,11,2,0,0,
822,Marc Del Gaizo,NSH,D,9,148.15,0,3,0,3,3,37.5,8,0.0,0.35,26,13,8,1,1,0,2,1,1,0,0,2,4,4,20,12,10,0,0,
823,Lukas Rousek,BUF,R,15,159.41666666667,0,2,1,1,2,40.0,4,0.0,0.45,12,8,8,4,0,2,0,0,0,0,0,1,0,3,5,12,7,3,0,100.0
824,Nikita Nesterenko,ANA,C,3,34.566666666667,1,0,0,0,1,100.0,7,14.29,0.94,12,9,6,3,0,3,0,0,0,0,0,0,1,0,7,2,0,0,0,
825,Tye Kartye,SEA,L,77,911.36666666667,11,9,4,5,20,71.43,109,10.09,11.71,224,168,127,60,5,15,37,13,11,1,1,16,9,24,227,86,27,41,46,47.13
826,Louis Crevier,CHI,D,24,376.4,0,3,1,2,3,42.86,18,0.0,0.46,42,22,9,0,0,3,4,2,2,0,0,0,9,4,30,35,50,0,0,
827,Nikolai Knyzhov,S.J,D,10,176.41666666667,0,1,0,1,1,33.33,6,0.0,0.17,19,9,2,0,0,3,6,3,3,0,0,2,2,3,13,13,17,0,0,
828,Drew O'Connor,PIT,L,79,1243.9,16,17,11,6,33,56.9,160,10.0,23.38,269,218,185,104,9,39,20,10,10,0,0,14,28,37,53,106,58,21,24,46.67
829,Brandon Biro,BUF,L,5,54.216666666667,2,0,0,0,2,66.67,2,100.0,1.03,4,3,2,2,0,0,0,0,0,0,0,0,2,0,0,6,2,11,12,47.83
