,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
590,Cody Glass,NSH,C,41,550.71666666667,6,7,4,3,13,56.52,82,7.32,10.01,133,106,81,45,4,12,20,10,10,0,0,11,18,15,31,46,20,100,117,46.08
591,Mikey Anderson,L.A,D,74,1526.7166666667,2,16,8,8,18,29.51,89,2.25,4.57,206,132,61,12,3,17,18,9,9,0,0,12,27,14,128,134,129,0,0,
592,Casey Mittelstadt,BUF,C,62,1132.75,14,33,17,16,47,58.02,102,13.73,10.61,187,135,93,36,3,16,28,13,13,0,0,6,34,33,14,74,23,426,478,47.12
593,Casey Mittelstadt,COL,C,18,285.61666666667,4,6,2,4,10,58.82,25,16.0,3.46,52,37,37,18,1,3,4,2,2,0,0,2,8,12,11,26,8,103,117,46.82
594,Urho Vaakanainen,ANA,D,68,1188.3666666667,1,13,6,7,14,31.11,67,1.49,1.73,150,95,32,2,3,12,26,13,13,0,0,10,31,13,55,88,79,0,0,
595,Nico Hischier,N.J,C,71,1383.2333333333,27,40,24,16,67,63.81,182,14.84,28.99,328,259,232,129,12,39,12,6,6,0,0,23,28,55,44,75,42,785,602,56.6
596,Jesper Boqvist,BOS,C,47,524.05,6,8,5,3,14,66.67,51,11.76,4.13,75,60,47,26,5,8,8,4,4,0,0,3,11,14,71,91,15,51,92,35.66
597,Jonas Rondbjerg,VGK,R,20,225.53333333333,1,2,2,0,3,75.0,25,4.0,3.27,40,29,21,12,1,4,0,0,0,0,0,0,2,10,7,33,10,0,1,0.0
598,Adam Ruzicka,ARI,C,3,24.866666666667,0,0,0,0,0,0.0,1,0.0,0.27,2,1,1,1,0,0,6,2,2,0,0,0,1,1,1,1,1,10,16,38.46
599,Adam Ruzicka,CGY,C,39,396.26666666667,3,6,4,2,9,69.23,34,8.82,3.56,72,51,37,12,1,9,6,3,3,0,0,5,10,5,10,21,15,76,81,48.41
600,Eeli Tolvanen,SEA,R,81,1267.0166666667,16,25,14,11,41,70.69,153,10.46,17.28,330,228,179,59,7,24,24,12,12,0,0,5,24,33,209,72,75,12,23,34.29
601,Klim Kostin,DET,C,33,287.4,3,1,1,0,4,50.0,22,13.64,2.55,46,36,26,13,1,3,38,12,9,2,1,10,10,2,60,29,5,4,2,66.67
